id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
129163,"Rock Rose - Clean, Cozy, Comfy, Steps2-Skytrain.",597619,Rozsa,,Renfrew-Collingwood,49.24507,-123.04941,Private room,44,30,50,2019-02-16,0.59,2,260
129756,cosy room near skytrain &The Drive,69746,Serge & Brigitte,,Grandview-Woodland,49.26785,-123.06612,Private room,81,3,183,2019-05-05,1.90,2,234
134688,"West view, Transit convenient, clean & comfortable",653436,Pirike,,Renfrew-Collingwood,49.24493,-123.04916,Private room,39,30,41,2019-01-15,0.44,5,167
140698,"1905 Heritage Loft, Main/Broadway, Olympic Village",69640,Steve,,Mount Pleasant,49.26292,-123.10581,Entire home/apt,99,5,98,2019-04-30,1.02,1,261
160157,City Centre and Walk to Beach,767559,Valentina,,West End,49.28232,-123.12954,Entire home/apt,107,2,408,2019-04-21,4.28,1,141
170137,Family friendly Point Grey Home,381497,Catherine,,Dunbar Southlands,49.2571,-123.19101,Entire home/apt,174,1,121,2019-05-04,1.29,1,225
172827,Charming and Homely Downtown Penthouse - Sleeps 6!,19982,Fernande,,West End,49.28161,-123.12696,Entire home/apt,250,2,4,2019-01-05,0.41,1,0
174135,VANCOUVER'S BEST PRIVATE SUITE/LOFT,831892,Hollie,,Downtown Eastside,49.27782,-123.08985,Entire home/apt,101,30,116,2018-04-04,1.25,1,23
182451,KITS SUPER CENTRAL DELIGHTFULL APT!,874660,Penny,,Kitsilano,49.25962,-123.16848,Entire home/apt,93,30,51,2018-12-25,0.54,3,58
194806,D28 - Spectacular 2 bedroom,30899,Rami,,Downtown,49.27936,-123.10934,Entire home/apt,125,30,28,2019-02-03,0.30,32,313
196722,"Three bedrooms, fantastic location!",958297,Elana & Gary,,Grandview-Woodland,49.26364,-123.06967,Entire home/apt,208,5,11,2019-01-05,0.19,2,94
200643,This is the door to Vancouver USW,981145,Dianne,,Downtown Eastside,49.27384,-123.08289,Private room,70,1,99,2019-05-12,1.22,4,286
202211,Trout Lake Haven !,989790,Paul,,Kensington-Cedar Cottage,49.25381,-123.05951,Private room,75,1,158,2018-09-15,1.69,4,2
219261,A Real Gem in the Heart of Kits,1135259,Rami,,Kitsilano,49.27246,-123.14954,Entire home/apt,200,1,138,2019-05-06,4.22,2,217
226731,Vancouver central- 1bdrm private condo,560892,Vancouver Furnished,,Downtown,49.28406,-123.11598,Entire home/apt,168,30,10,2018-09-23,0.14,3,335
226757,Cultural heart of Vancouver-Robson3,560892,Vancouver Furnished,,Downtown,49.28119,-123.11883,Entire home/apt,213,30,7,2018-09-01,0.08,3,322
236297,West End Retreat - Private Room/Bath,1238915,Adam,,West End,49.29,-123.14087,Private room,150,1,34,2018-10-03,0.58,1,70
248014,"Stunning views, comfort, location!!",1299977,Gabriella,,Grandview-Woodland,49.29074,-123.05849,Entire home/apt,81,31,1,2014-09-04,0.02,1,98
248973,East Vancouver Hidden Gem,1304461,Shelley,,Hastings-Sunrise,49.28053,-123.05494,Entire home/apt,140,2,74,2019-04-28,0.81,2,274
249106,East Vancouver Loft,1304461,Shelley,,Hastings-Sunrise,49.28035,-123.05365,Shared room,46,2,85,2019-04-22,0.93,2,233
254657,Heritage Loft in heart of Gastown,241920,Scott,,Downtown Eastside,49.28273,-123.10492,Entire home/apt,199,3,58,2019-05-03,0.78,1,0
256178,Luxury Coach House in Kitsilano license (Phone number hidden by Airbnb),1267409,Julia,,Kitsilano,49.26291,-123.17216,Entire home/apt,301,4,6,2019-04-23,0.08,2,63
257163,"Lg. Room, Private Bath & Breakfast!",70797,Adrianna,,Kensington-Cedar Cottage,49.24003,-123.0639,Private room,67,3,37,2018-09-23,0.42,1,0
258636,FABULOUS Luxury Downtown Vancouver!,948852,Ian,,Downtown,49.27796,-123.12671,Entire home/apt,99,180,52,2018-10-28,0.58,1,335
303950,"West Coast Stunner!  Mountain view, central",196890,Siobhan,,Mount Pleasant,49.26225,-123.08421,Entire home/apt,236,2,25,2019-05-03,0.36,1,141
306178,Sunset views - LGBTQ2+ friendly,1574553,Michelle,,Renfrew-Collingwood,49.23311,-123.02669,Private room,66,2,60,2019-05-11,0.75,2,99
311354,Close to downtown/shops/restaurants/skytrain,58512,Q,,Grandview-Woodland,49.26415,-123.07008,Entire home/apt,200,30,3,2018-03-30,0.17,2,90
322824,Modern yaletown apartment with view!,1652613,Blake,,Downtown,49.27706,-123.12438,Entire home/apt,170,31,140,2019-05-04,1.62,1,85
325795,"Spotless 1B Apt. 5 min walk to Commerical ""Drive""",343195,Trish,,Grandview-Woodland,49.26634,-123.06207,Entire home/apt,81,3,176,2019-05-07,2.06,2,269
359942,Stylish Dwntwn Condo-female/couple ,1200456,Nala,,Downtown,49.27825,-123.11865,Private room,254,30,41,2018-09-18,0.47,8,365
363705,This is the door to Vancouver USE,981145,Dianne,,Downtown Eastside,49.27711,-123.07861,Private room,67,1,76,2019-05-10,0.90,4,276
377706,Bright Spacious Bedroom Pvt Bath,1898008,Tina,,Grandview-Woodland,49.279,-123.06977,Private room,40,30,55,2019-04-10,0.67,1,284
415700,"LARGE PRIVATE ROOM+BATH, SEPARATE ENTRY, KING BED",83871,Adam,,Renfrew-Collingwood,49.23468,-123.05508,Private room,50,2,167,2019-02-23,1.94,3,298
416453,Ultra Modern Studio in Chinatown,1318151,Suz,,Downtown Eastside,49.27844,-123.09986,Entire home/apt,149,30,43,2018-09-04,0.51,1,240
417047,New 2 BR Only Minutes from Downtown,2074212,Andrea,,Downtown Eastside,49.27782,-123.09209,Entire home/apt,110,2,185,2019-04-24,2.16,1,102
419437,Trout  Lake  Haven,989790,Paul,,Kensington-Cedar Cottage,49.25231,-123.06134,Private room,75,2,85,2018-09-15,0.99,4,288
436032,Trendy & Spacious 2 bd Gastown Loft,2165986,Kristy,,Downtown Eastside,49.28297,-123.10393,Entire home/apt,246,4,62,2019-04-28,0.73,1,22
438881,Small private room close to Airport,1405499,Marcel,,Marpole,49.20623,-123.13637,Private room,27,32,63,2019-04-30,0.74,1,82
448104,Modern Charm in Downtown Vancouver,179396,Lili,,West End,49.28145,-123.12582,Entire home/apt,138,28,243,2019-05-01,2.85,5,94
461370,Lovely large room w/ private bath ,1200456,Nala,,Killarney,49.22814,-123.03149,Private room,87,2,41,2019-04-28,0.50,8,365
461386,Beautiful room (s) Vancouver Home ,1200456,Nala,,Killarney,49.22846,-123.03121,Private room,87,2,31,2018-09-01,0.37,8,360
468691,"3 bed Penthouse, 2 bath, 360View, Deck Jacuzzi Gym",2326462,Babak,,West End,49.27873,-123.13109,Entire home/apt,250,30,4,2013-06-28,0.05,1,285
475296,1400 sqft LOFT PENTHOUSE IN GASTOWN,2356016,Jocelyn,,Downtown Eastside,49.28339,-123.10453,Entire home/apt,350,1,98,2019-04-14,1.40,1,324
496298,"Downtown 1Bed+Den, stylish & modern",2451689,Marlin,,Downtown,49.27996,-123.11684,Entire home/apt,119,31,154,2019-02-02,1.84,1,275
497641,Spacious Blue Room in Large House,2456973,Jeanette,,Fairview,49.2589,-123.12998,Private room,101,30,24,2018-08-03,0.28,6,257
498112,"Renovated, modern house with 2 kitchens",2459577,Allison,,Kensington-Cedar Cottage,49.2487,-123.07002,Entire home/apt,374,5,22,2018-08-16,0.27,2,287
507767,One Bedroom Suite @ the Luxurious LEVEL Vancouver,2502595,LEVEL Furnished Living,,Downtown,49.2775,-123.12296,Entire home/apt,229,31,2,2014-08-31,0.03,19,364
