acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0.177,https://api.spotify.com/v1/audio-analysis/0Vcv54XfyE2oktzHSZMxhr,0.613,226542,0.731,0Vcv54XfyE2oktzHSZMxhr,0.0,8,0.107,-3.993,1,0.0625,107.071,4,https://api.spotify.com/v1/tracks/0Vcv54XfyE2oktzHSZMxhr,audio_features,spotify:track:0Vcv54XfyE2oktzHSZMxhr,0.322
0.00627,https://api.spotify.com/v1/audio-analysis/108r6pnZHStBIktpyyps9w,0.768,166000,0.808,108r6pnZHStBIktpyyps9w,5.33e-06,5,0.343,-1.818,1,0.112,119.971,4,https://api.spotify.com/v1/tracks/108r6pnZHStBIktpyyps9w,audio_features,spotify:track:108r6pnZHStBIktpyyps9w,0.664
0.2,https://api.spotify.com/v1/audio-analysis/6u8MYoxXvAHNR0enhdUqgd,0.713,209224,0.666,6u8MYoxXvAHNR0enhdUqgd,2.09e-05,11,0.137,-6.128,1,0.0511,112.015,4,https://api.spotify.com/v1/tracks/6u8MYoxXvAHNR0enhdUqgd,audio_features,spotify:track:6u8MYoxXvAHNR0enhdUqgd,0.277
0.0809,https://api.spotify.com/v1/audio-analysis/5G5utwWW1KmWGM5e2EkseP,0.804,183392,0.6,5G5utwWW1KmWGM5e2EkseP,0.000136,5,0.0602,-10.401,1,0.151,110.001,4,https://api.spotify.com/v1/tracks/5G5utwWW1KmWGM5e2EkseP,audio_features,spotify:track:5G5utwWW1KmWGM5e2EkseP,0.528
0.172,https://api.spotify.com/v1/audio-analysis/0LCgZWyipnF0smeR6B3e6A,0.811,170826,0.868,0LCgZWyipnF0smeR6B3e6A,0.000696,8,0.0952,-5.052,0,0.0888,121.007,4,https://api.spotify.com/v1/tracks/0LCgZWyipnF0smeR6B3e6A,audio_features,spotify:track:0LCgZWyipnF0smeR6B3e6A,0.586
0.00553,https://api.spotify.com/v1/audio-analysis/5EpR6BqAnwR9PPl6sIrzGy,0.704,157000,0.888,5EpR6BqAnwR9PPl6sIrzGy,0.0011,11,0.079,-2.872,1,0.0541,125.027,4,https://api.spotify.com/v1/tracks/5EpR6BqAnwR9PPl6sIrzGy,audio_features,spotify:track:5EpR6BqAnwR9PPl6sIrzGy,0.531
0.00624,https://api.spotify.com/v1/audio-analysis/56UuQKt0DUeLUOD8o98QFR,0.705,260952,0.93,56UuQKt0DUeLUOD8o98QFR,8.96e-05,11,0.143,-3.333,0,0.0343,126.016,4,https://api.spotify.com/v1/tracks/56UuQKt0DUeLUOD8o98QFR,audio_features,spotify:track:56UuQKt0DUeLUOD8o98QFR,0.195
0.0905,https://api.spotify.com/v1/audio-analysis/2qrLtymuMxLCdLCWjqiXvr,0.778,169841,0.698,2qrLtymuMxLCdLCWjqiXvr,0.0,8,0.109,-8.199,1,0.0581,108.999,4,https://api.spotify.com/v1/tracks/2qrLtymuMxLCdLCWjqiXvr,audio_features,spotify:track:2qrLtymuMxLCdLCWjqiXvr,0.314
0.229,https://api.spotify.com/v1/audio-analysis/7HdZY9UJTylIiNcSDFyUDc,0.751,186231,0.658,7HdZY9UJTylIiNcSDFyUDc,0.00222,1,0.0958,-4.578,1,0.0956,100.005,4,https://api.spotify.com/v1/tracks/7HdZY9UJTylIiNcSDFyUDc,audio_features,spotify:track:7HdZY9UJTylIiNcSDFyUDc,0.496
0.0572,https://api.spotify.com/v1/audio-analysis/5lNuqFVMca4vPupY10cH0J,0.739,222787,0.619,5lNuqFVMca4vPupY10cH0J,0.0,10,0.105,-6.669,1,0.162,112.961,4,https://api.spotify.com/v1/tracks/5lNuqFVMca4vPupY10cH0J,audio_features,spotify:track:5lNuqFVMca4vPupY10cH0J,0.58
0.769,https://api.spotify.com/v1/audio-analysis/50phRe11Y2nC2N968jVU53,0.865,169827,0.529,50phRe11Y2nC2N968jVU53,6.6e-06,1,0.104,-7.756,1,0.23,111.982,4,https://api.spotify.com/v1/tracks/50phRe11Y2nC2N968jVU53,audio_features,spotify:track:50phRe11Y2nC2N968jVU53,0.649
0.0476,https://api.spotify.com/v1/audio-analysis/43V1z6QToNNWNldV4FEG6r,0.752,163216,0.764,43V1z6QToNNWNldV4FEG6r,9.44e-05,1,0.0543,-4.399,1,0.038,121.958,4,https://api.spotify.com/v1/tracks/43V1z6QToNNWNldV4FEG6r,audio_features,spotify:track:43V1z6QToNNWNldV4FEG6r,0.582
0.171,https://api.spotify.com/v1/audio-analysis/09IStsImFySgyp0pIQdqAc,0.753,184732,0.657,09IStsImFySgyp0pIQdqAc,0.0,7,0.112,-3.061,1,0.0449,107.01,4,https://api.spotify.com/v1/tracks/09IStsImFySgyp0pIQdqAc,audio_features,spotify:track:09IStsImFySgyp0pIQdqAc,0.437
0.133,https://api.spotify.com/v1/audio-analysis/3kMeE1blR28hmamxMvBQTQ,0.724,176625,0.901,3kMeE1blR28hmamxMvBQTQ,0.000571,11,0.11,-4.383,1,0.0763,120.016,4,https://api.spotify.com/v1/tracks/3kMeE1blR28hmamxMvBQTQ,audio_features,spotify:track:3kMeE1blR28hmamxMvBQTQ,0.695
0.368,https://api.spotify.com/v1/audio-analysis/6QcIPGlQpohjUNPpIv1OsB,0.573,198153,0.742,6QcIPGlQpohjUNPpIv1OsB,0.00239,5,0.285,-3.089,1,0.0453,160.108,4,https://api.spotify.com/v1/tracks/6QcIPGlQpohjUNPpIv1OsB,audio_features,spotify:track:6QcIPGlQpohjUNPpIv1OsB,0.33
0.118,https://api.spotify.com/v1/audio-analysis/2lYTJK94hb0fd1LQtb6Dhk,0.659,183750,0.738,2lYTJK94hb0fd1LQtb6Dhk,0.0,4,0.115,-5.072,0,0.0477,127.95,4,https://api.spotify.com/v1/tracks/2lYTJK94hb0fd1LQtb6Dhk,audio_features,spotify:track:2lYTJK94hb0fd1LQtb6Dhk,0.481
0.0353,https://api.spotify.com/v1/audio-analysis/1MtUq6Wp1eQ8PC6BbPCj8P,0.663,197933,0.713,1MtUq6Wp1eQ8PC6BbPCj8P,7.68e-06,7,0.0843,-6.647,0,0.112,101.965,4,https://api.spotify.com/v1/tracks/1MtUq6Wp1eQ8PC6BbPCj8P,audio_features,spotify:track:1MtUq6Wp1eQ8PC6BbPCj8P,0.69
0.0441,https://api.spotify.com/v1/audio-analysis/6kPJZM97LwdG9QIsT7khp6,0.737,222653,0.636,6kPJZM97LwdG9QIsT7khp6,6.66e-05,11,0.35,-4.546,0,0.0437,105.005,4,https://api.spotify.com/v1/tracks/6kPJZM97LwdG9QIsT7khp6,audio_features,spotify:track:6kPJZM97LwdG9QIsT7khp6,0.565
0.0067,https://api.spotify.com/v1/audio-analysis/7LR2nZOAmgApHf2q3m1WW0,0.607,217679,0.717,7LR2nZOAmgApHf2q3m1WW0,0.00132,5,0.256,-5.771,1,0.0634,125.956,4,https://api.spotify.com/v1/tracks/7LR2nZOAmgApHf2q3m1WW0,audio_features,spotify:track:7LR2nZOAmgApHf2q3m1WW0,0.376
